rotated,kappa_A_B,kappa_H,rel_tol,budget,method,iterations,final_rel_gap,final_param_rel_error
False,1,1,1e-08,5000,gd,1,0.0,0.0
False,1,1,1e-08,5000,diag,1,0.0,0.0
False,1,1,1e-08,5000,lr,1,0.0,0.0
False,1,1,1e-08,5000,scaled_msign,907,9.885533502236392e-09,9.942602024739998e-05
False,3,81,1e-08,5000,gd,342,9.819453085968514e-09,4.5699207582603956e-05
False,3,81,1e-08,5000,diag,1,1.46121832698243e-32,1.2495154965328583e-16
False,3,81,1e-08,5000,lr,1,2.3480949542313768e-32,1.2495154965328583e-16
False,3,81,1e-08,5000,scaled_msign,597,9.827435804556112e-09,0.00040702899126419115
False,10,10000,1e-08,5000,gd,5001,0.06895992004777259,0.07828648496024489
False,10,10000,1e-08,5000,diag,1,8.175348905092e-33,1.3380231359304392e-16
False,10,10000,1e-08,5000,lr,1,1.1828287157037812e-33,1.2740679093299757e-16
False,10,10000,1e-08,5000,scaled_msign,5001,2.5072849415438147e+202,9.906570293030246e+100
True,1,1,1e-08,5000,gd,1,4.178043192750721e-31,6.098438834865739e-16
True,1,1,1e-08,5000,diag,1,4.326009548901708e-31,6.414381082018393e-16
True,1,1,1e-08,5000,lr,1,4.066254953193365e-32,1.437507112320026e-16
True,1,1,1e-08,5000,scaled_msign,874,9.771525653340172e-09,9.885102757864177e-05
True,3,81,1e-08,5000,gd,272,9.90098097392523e-09,9.149098413706243e-05
True,3,81,1e-08,5000,diag,182,9.86923452298204e-09,6.0314178671974316e-05
True,3,81,1e-08,5000,lr,1,1.1654344519423144e-31,4.495634577662218e-16
True,3,81,1e-08,5000,scaled_msign,499,9.923223521536483e-09,0.0003492202792049441
True,10,10000,1e-08,5000,gd,5001,0.0043048890323996855,0.02854313560043939
True,10,10000,1e-08,5000,diag,5001,0.0007858187673489819,0.020768986877683825
True,10,10000,1e-08,5000,lr,1,2.0243202197522048e-30,1.192521204073086e-14
True,10,10000,1e-08,5000,scaled_msign,5001,1.0700569477513028e+201,1.2134257749878236e+100
