kappa,steps,alignment,orth_error,sv_spread
1,1,0.9999999999999686,3.0505296014898497e-16,5.551115123125783e-16
1,3,0.9999999999999686,2.790132323349198e-16,8.881784197001252e-16
1,5,0.9999999999999686,2.841537462143806e-16,7.771561172376096e-16
1,8,0.9999999999999685,2.9889787432577545e-16,6.661338147750939e-16
10,1,0.8791203743689837,0.730911992193431,0.8505000000001484
10,3,0.9556261531418776,0.49597707862030666,0.6716444843595313
10,5,0.9943162119431048,0.2065432028462825,0.341281026261148
10,8,0.9999999469284453,0.0006765007842273168,0.001724836573494093
100,1,0.6869564459385923,0.8689018768780165,0.9850005000000149
100,3,0.7761757955609117,0.7708887093503092,0.9662593494587698
100,5,0.8603817874243908,0.6530922142378328,0.9241770903526474
100,8,0.9571941587937713,0.42614186337663046,0.7481219129476204
1000,1,0.5687948321342404,0.911825994926266,0.9985000005000011
1000,3,0.6455863845859895,0.8509810508309311,0.996625009351545
1000,5,0.7209953530559274,0.7821710926740459,0.9924063647451459
1000,8,0.8238589134125074,0.6645108333704653,0.9743755752901034
